租金,room_size,室,卫,厅,天然气,空调,独卫,飘窗,阳台,district_name,price_y,最近地铁距离,1500内地铁口,最近公交站距离,500内公交站数量,最近银行距离,1000内银行数量,最近影院距离,1000内影院数量,最近餐饮距离,700内餐饮数量,500内超市数量,1000内公园数量,最近菜市场距离,1000内菜市场数量
890,13,4,1,1,0,0,0,0,1,高新区,16268,387.1632722,世纪城 天府三街,67.98596425,4,807.353559,1,879.89686,1,112.223548,20,9,20,250.5783434,1
1750,30,1,1,1,0,0,1,1,0,高新区,17429,3440.217836,锦城广场,281.635642,4,525.6005823,1,743.3068759,1,152.2280521,20,13,10,197.6657477,3
1750,30,1,1,1,1,0,1,1,0,高新区,17429,3440.217836,锦城广场,281.635642,4,525.6005823,1,743.3068759,1,152.2280521,20,13,10,197.6657477,3
1750,30,1,1,1,1,1,1,1,0,高新区,17429,3440.217836,锦城广场,281.635642,4,525.6005823,1,743.3068759,1,152.2280521,20,13,10,197.6657477,3
1700,30,1,1,1,1,0,1,1,0,高新区,17429,3440.217836,锦城广场,281.635642,4,525.6005823,1,743.3068759,1,152.2280521,20,13,10,197.6657477,3
1999,37,5,2,1,0,0,1,1,1,高新区,20993,703.9802984,高新 火车南站,245.4982361,5,642.5466796,1,641.673707,1,132.9457091,20,9,18,1150.27795,1
1999,13,5,2,1,0,1,0,1,1,高新区,20993,703.9802984,高新 火车南站,245.4982361,5,642.5466796,1,641.673707,1,132.9457091,20,9,18,1150.27795,1
1999,18,5,2,1,0,0,0,0,1,高新区,20993,703.9802984,高新 火车南站,245.4982361,5,642.5466796,1,641.673707,1,132.9457091,20,9,18,1150.27795,1
1999,15,5,2,1,0,0,0,0,1,高新区,20993,703.9802984,高新 火车南站,245.4982361,5,642.5466796,1,641.673707,1,132.9457091,20,9,18,1150.27795,1
1999,11,5,2,1,0,0,0,0,1,高新区,20993,703.9802984,高新 火车南站,245.4982361,5,642.5466796,1,641.673707,1,132.9457091,20,9,18,1150.27795,1
1400,18,3,1,2,0,1,0,0,0,青羊区,25001,741.8119544,通惠门 人民公园 宽窄巷子 中医大省医院,300.9007994,2,541.1064989,3,1935.019628,1,277.7673935,17,9,20,831.6398001,3
1100,10,3,1,2,0,0,0,0,0,青羊区,25001,741.8119544,通惠门 人民公园 宽窄巷子 中医大省医院,300.9007994,2,541.1064989,3,1935.019628,1,277.7673935,17,9,20,831.6398001,3
1200,11,3,1,2,0,1,0,0,0,青羊区,25001,741.8119544,通惠门 人民公园 宽窄巷子 中医大省医院,300.9007994,2,541.1064989,3,1935.019628,1,277.7673935,17,9,20,831.6398001,3
1400,30,1,1,1,1,0,1,1,0,高新区,17429,3440.217836,锦城广场,281.635642,4,525.6005823,1,743.3068759,1,152.2280521,20,13,10,197.6657477,3
1750,30,1,1,1,1,0,1,1,0,高新区,17429,3440.217836,锦城广场,281.635642,4,525.6005823,1,743.3068759,1,152.2280521,20,13,10,197.6657477,3
1750,30,1,1,1,0,0,0,0,0,高新区,17429,3440.217836,锦城广场,281.635642,4,525.6005823,1,743.3068759,1,152.2280521,20,13,10,197.6657477,3
990,17,4,2,1,0,0,0,0,1,武侯区,20971,1761.072445,簇锦,142.4328673,5,2663.128658,1,383.2881396,1,42.64483007,20,8,19,536.6590949,1
680,9,4,2,1,0,0,0,0,0,武侯区,20971,1761.072445,簇锦,142.4328673,5,2663.128658,1,383.2881396,1,42.64483007,20,8,19,536.6590949,1
